collection,mongodb_field_name,notes
revenues,aged_90+_days_sellable_units,
revenues,sellable_inventory_amount,
revenues,available_inventory,
revenues,unsellable_on_hand_inventory_amount,
revenues,unsellable_on_hand_units,
revenues,date,
revenues,sales_channel,
revenues,in_stock_flag,
revenues,cumulative_instock_days,
revenues,day_of_month,
revenues,instock_rate,
revenues,total_sales,
revenues,total_units,
revenues,sell_through,
revenues,dos,
revenues,oos_date,
revenues,min_available_qty,
revenues,max_available_qty,
revenues,stock_status,
revenues,no/low_stock_wt_open_pos,
revenues,no/low_stock_wt_no_open_pos,
revenues,ads_sales,
revenues,ads_unit_sold,
revenues,ads_spend,
revenues,organic_sale,
revenues,product_name,
revenues,product_category,
revenues,pack_type,
revenues,pack_size,
revenues,sc_ideal_price,
revenues,vc_ideal_price,
revenues,sku,
revenues,fnsku,
revenues,condition,
revenues,your_price,
revenues,mfn_listing_exists,
revenues,mfn_fulfillable_quantity,
revenues,afn_listing_exists,
revenues,afn_warehouse_quantity,
revenues,afn_fulfillable_quantity,
revenues,afn_unsellable_quantity,
revenues,afn_reserved_quantity,
revenues,afn_total_quantity,
revenues,per_unit_volume,
revenues,afn_inbound_working_quantity,
revenues,afn_inbound_shipped_quantity,
revenues,afn_inbound_receiving_quantity,
revenues,afn_researching_quantity,
revenues,afn_reserved_future_supply,
revenues,afn_future_supply_buyable,
revenues,store,
revenues,reserved_qty,
revenues,reserved_customerorders,
revenues,reserved_fc_transfers,
revenues,reserved_fc_processing,
revenues,units_shipped_t30,
revenues,units_shipped_t60,
revenues,units_shipped_t90,
revenues,year_month,
